,Annual_Deposit_Amount,Home_value,Years_with_the_bank,Loan_held,Wealth_portfolio_held,Automated_menu,Priority
0,25783,25783,1,0,0,1,0
1,17615,33618,1,1,0,4,0
2,56114,25475,3,0,1,4,1
3,26291,26291,0,0,0,2,0
4,26331,26331,1,0,0,1,0
5,18705,33299,3,1,0,4,1
6,61283,35382,3,1,1,3,1
7,20375,30971,1,1,0,2,0
8,17894,29420,1,1,0,2,0
9,25818,25818,1,0,0,2,0
10,25220,25220,0,0,0,4,0
11,41327,30099,2,1,1,4,1
12,55575,33208,2,1,1,3,1
13,62466,26087,0,0,1,1,1
14,25549,25549,2,0,0,2,0
15,15454,30015,1,1,0,3,0
16,26556,26556,1,0,0,4,0
17,25593,25593,1,0,0,4,0
18,20348,32138,2,1,0,4,0
19,25981,25981,1,0,0,3,0
20,25620,25620,2,0,0,3,0
21,26139,26139,3,0,0,4,0
22,25887,25887,2,0,0,4,0
23,46185,25199,2,0,1,4,1
24,45642,32090,1,1,1,3,1
25,38304,29614,3,1,1,3,1
26,22808,35010,1,1,0,4,0
27,16518,28836,1,1,0,2,0
28,25297,25297,1,0,0,3,0
29,25397,25397,5,0,0,3,1
30,16577,29087,1,1,0,3,0
31,25794,25794,1,0,0,2,0
32,25516,25516,1,0,0,4,0
33,21579,35369,1,1,0,2,0
34,25600,25600,2,0,0,4,0
35,26654,26654,1,0,0,1,0
36,41833,30574,2,1,1,3,1
37,20887,33230,2,1,0,1,1
38,33167,28892,1,1,1,4,1
39,25689,25689,1,0,0,1,0
40,18122,31232,1,1,0,2,0
41,55896,34147,1,1,1,3,1
42,54843,24630,2,0,1,1,1
43,55416,34102,1,1,1,1,1
44,22153,33812,2,1,0,2,1
45,26245,26245,2,0,0,1,0
46,44920,31157,3,1,1,2,1
47,21455,30586,3,1,0,1,1
48,17881,33455,1,1,0,1,0
49,25730,25730,2,0,0,2,0
50,16261,28829,0,1,0,3,0
51,25755,25755,1,0,0,3,0
52,14454,27077,1,1,0,4,0
53,25960,25960,1,0,0,2,0
54,25952,25952,0,0,0,3,0
55,25371,25371,1,0,0,1,0
56,16309,30955,2,1,0,1,0
57,26272,26272,2,0,0,1,0
58,17260,32196,1,1,0,2,0
59,56243,24877,2,0,1,1,1
60,26002,26002,3,0,0,2,1
61,25812,25812,2,0,0,4,0
62,63726,25199,2,0,1,2,1
63,13138,28059,1,1,0,1,0
64,26446,26446,1,0,0,2,0
65,26368,26368,1,0,0,3,0
66,49517,33479,4,1,1,2,1
67,26691,26691,2,0,0,1,0
68,20172,34495,1,1,0,3,0
69,26062,26062,1,0,0,3,0
70,25973,25973,1,0,0,3,0
71,46144,31226,2,1,1,2,1
72,52581,26054,2,0,1,1,1
73,21409,33050,1,1,0,2,0
74,19235,31047,2,1,0,1,0
75,24985,24985,2,0,0,2,0
76,25203,25203,1,0,0,3,0
77,19503,31215,1,1,0,2,0
78,58577,25962,1,0,1,1,1
79,25934,25934,2,0,0,1,0
80,57541,33653,2,1,1,4,1
81,13818,28025,1,1,0,3,0
82,24098,36696,2,1,0,2,1
83,20575,31430,0,1,0,4,0
84,25374,25374,2,0,0,3,0
85,55115,25689,2,0,1,1,1
86,16527,30548,1,1,0,3,0
87,25516,25516,1,0,0,4,0
88,25562,25562,1,0,0,2,0
89,54160,33530,2,1,1,1,1
90,17145,30551,1,1,0,4,0
91,25538,25538,0,0,0,3,0
92,25347,25347,2,0,0,4,0
93,26270,26270,1,0,0,3,0
94,18941,32091,2,1,0,4,0
95,37157,29182,2,1,1,3,1
96,25061,25061,1,0,0,3,0
97,46342,32238,2,1,1,1,1
98,25359,25359,2,0,0,1,0
99,38451,30197,2,1,1,2,1
100,50600,24708,2,0,1,2,1
101,24277,36695,1,1,0,1,0
102,19245,32276,2,1,0,2,0
103,22599,34610,2,1,0,2,1
104,22173,33855,1,1,0,3,0
